,ENSG00000198520~chr1:44637724-44638643,ENSG00000163219~chr2:68650985-68651861,time
0,-0.006607734,-0.03250653,0.0028837079
1,0.0019568566,-0.027723962,0.0069777253
2,0.0003612283,-0.024361523,0.011452161
3,0.0033732967,-0.024025118,0.016182104
4,-0.0029258616,-0.023367597,0.020931115
5,-0.010575476,-0.034507703,0.02563949
6,-0.014601734,-0.0343784,0.030633623
7,-0.01150903,-0.031117624,0.035471044
8,-0.019170914,-0.03150446,0.040457286
9,-0.0081860125,-0.02661078,0.045364115
10,-0.008319305,-0.020596968,0.05022196
11,-0.011897964,-0.024644336,0.054982793
12,-0.007485458,-0.022406891,0.05979772
13,-7.4697375e-05,-0.01386538,0.0648138
14,-0.0028199428,-0.019872466,0.06985915
15,0.009530005,-0.019702388,0.0744798
16,0.005033039,-0.0012811507,0.07956456
17,0.0055980724,-0.008899258,0.08434008
18,0.0014414713,-0.01022853,0.08892669
19,0.007859542,0.007504262,0.09440717
20,0.0074237543,0.006945046,0.09882109
21,-0.0091220355,-0.0041197776,0.103934236
22,0.0056834496,0.011094875,0.108535655
23,0.015696513,0.0068205753,0.113641806
24,0.0068838424,0.0036865633,0.11850836
25,0.010770871,0.015536545,0.123343736
26,0.0009570053,0.01903552,0.12797594
27,0.012574632,0.011661859,0.13307749
28,0.015803868,-0.0067390935,0.13819258
29,0.011489361,0.018417666,0.14299425
30,0.0049932715,-0.0007674156,0.14763527
31,0.011058189,-0.016554715,0.1524912
32,0.0064116446,-0.0029521245,0.15750599
33,0.0054679927,-0.032842048,0.16241688
34,0.014586874,-0.015192364,0.16713753
35,0.007477727,-0.019872816,0.17218982
36,0.010732215,-0.029579531,0.17720069
37,0.010758905,-0.036844246,0.18186861
38,0.016920608,-0.037919275,0.18694612
39,0.0113058165,-0.0316717,0.19188407
40,0.01024312,-0.028061885,0.19654427
41,0.0029047958,-0.056997765,0.20157574
42,0.0046625305,-0.052370686,0.20625392
43,0.012445954,-0.046796888,0.2115968
44,0.010815673,-0.07832653,0.21613437
45,0.0007369399,-0.066176035,0.22087751
46,0.002137907,-0.06475899,0.2255677
47,0.0030678909,-0.07170843,0.2305085
48,0.00080653647,-0.056754354,0.23568939
49,-0.010352486,-0.07888659,0.24055357
50,0.00037101307,-0.08708232,0.24517186
51,-0.007616908,-0.104095764,0.25064415
52,-0.010713774,-0.06481708,0.25552833
53,-0.03633988,-0.09570361,0.25979617
54,-0.019385843,-0.1167191,0.26481402
55,-0.035271164,-0.100800306,0.2699155
56,-0.023885386,-0.07349887,0.27473485
57,-0.033163402,-0.13901353,0.2795472
58,-0.08863629,-0.09643655,0.2842358
59,-0.1011878,-0.20606054,0.28950718
60,-0.12739779,-0.23803033,0.29385436
61,-0.15599029,-0.26894104,0.29893202
62,-0.13582636,-0.17827676,0.3037301
63,-0.17970438,-0.18991904,0.30873913
64,-0.33775565,-0.26724613,0.3139634
65,-0.24494834,-0.3452864,0.3185128
66,-0.24918729,-0.41317275,0.3232963
67,-0.3259093,-0.24443325,0.32810605
68,-0.37862968,-0.27265808,0.33317298
69,-0.37009636,-0.48517206,0.33802482
70,-0.48300976,-0.44011936,0.34318927
71,-0.7151468,-0.58521473,0.3479855
72,-0.516145,-0.39937305,0.35267267
73,-0.5921633,-0.5577312,0.3574048
74,-0.57025343,-0.4018943,0.36261082
75,-0.7208177,-0.6653276,0.3675299
76,-0.58607715,-0.60083914,0.372565
77,-1.1070496,-0.34027985,0.37755296
78,-1.0089374,-0.6432418,0.3820441
79,-0.9644389,-0.55019,0.38723403
80,-0.9964965,-0.5998387,0.39181447
81,-0.9425557,-0.8121853,0.3961744
82,-1.2828492,-0.94985604,0.40120736
83,-1.0634973,-0.6912149,0.40687838
84,-0.93622655,-0.7564958,0.41012987
85,-1.2447768,-0.78273946,0.41613257
86,-1.4038048,-0.67337686,0.4208169
87,-1.035808,-1.0539773,0.42583835
88,-1.503113,-0.8448269,0.42976642
89,-1.6101121,-0.97927237,0.43603265
90,-1.3302431,-0.8802541,0.4409795
91,-1.6438452,-0.96691936,0.445395
92,-2.2650108,-1.2206103,0.45152715
93,-1.5831367,-1.0311223,0.45551455
94,-1.6797514,-1.106208,0.46057338
95,-2.130669,-1.6342293,0.46549657
96,-1.3209107,-1.5597664,0.47074103
97,-3.1930108,-2.0362434,0.47339636
98,-2.4150484,-1.6261308,0.48153457
99,-2.2027817,-2.002963,0.48440015
100,-2.5984192,-1.6185708,0.48790434
