,r,r.p_value,r.FDR
ENSG00000186827~chr1:1212688-1213513,0.010424344031260286,,
ENSG00000186827~chr1:1231665-1232588,-0.010627446334121767,,
ENSG00000186827~chr1:1246352-1247194,-0.013338113968271509,,
ENSG00000186827~chr1:1247634-1248482,0.0034963355394003128,,
ENSG00000186827~chr1:1250110-1250828,-0.0009743240216274717,,
ENSG00000186827~chr1:1259766-1260656,0.017214348513878305,,
ENSG00000186891~chr1:1206129-1206861,0.015149032207877456,,
ENSG00000186891~chr1:1207892-1208590,0.018641706393983014,,
ENSG00000186891~chr1:1208717-1209426,0.010945431566905842,,
ENSG00000186891~chr1:1231665-1232588,0.0024472726866323707,,
ENSG00000186891~chr1:1246352-1247194,-0.00746985480300531,,
ENSG00000186891~chr1:1247634-1248482,-0.005546940316913325,,
ENSG00000186891~chr1:1250110-1250828,-0.0060632477174875085,,
ENSG00000234396~chr1:2174058-2174964,-0.006414606500980697,,
ENSG00000234396~chr1:2189228-2190103,-0.0016196365087039306,,
ENSG00000234396~chr1:2194620-2195443,0.0012642070419523878,,
ENSG00000234396~chr1:2198945-2199861,0.01237387657299723,,
ENSG00000234396~chr1:2204678-2205624,-0.008461014585447178,,
ENSG00000234396~chr1:2212386-2213253,0.0008639576097032507,,
ENSG00000142611~chr1:3069467-3070367,0.02309006179018469,,
ENSG00000142611~chr1:3078522-3079319,0.023608436219958957,,
ENSG00000142611~chr1:3093630-3094534,0.030872920300880072,,
ENSG00000142611~chr1:3096093-3096979,0.006768571098976707,,
ENSG00000142611~chr1:3102362-3103243,0.030421364680052847,,
ENSG00000142611~chr1:3134940-3135862,0.0036535978378093624,,
ENSG00000142611~chr1:3154937-3155853,0.004250115047812138,,
ENSG00000142611~chr1:3156473-3157328,0.007181888433978553,,
ENSG00000142611~chr1:3158891-3159793,-0.006207334195484326,,
ENSG00000142611~chr1:3160758-3161618,0.0051884986151377495,,
ENSG00000142611~chr1:3170503-3171308,0.0039044105777956066,,
ENSG00000142611~chr1:3173306-3174099,0.02675139830331948,,
ENSG00000142611~chr1:3174576-3175506,-0.008423455493330841,,
ENSG00000142611~chr1:3180214-3181026,0.0035706353394427087,,
ENSG00000142611~chr1:3181744-3182634,0.04535235666904042,,
ENSG00000142611~chr1:3183184-3184022,0.04429987054149767,,
ENSG00000142611~chr1:3188494-3189341,0.022112470785011693,,
ENSG00000142611~chr1:3206940-3207827,0.010687913908630378,,
ENSG00000142611~chr1:3221982-3222901,0.03344267221780293,,
ENSG00000142611~chr1:3247203-3248110,0.01782900165720042,,
ENSG00000142611~chr1:3250830-3251677,9.907168276818594e-05,,
ENSG00000142611~chr1:3270556-3271464,-0.0076081956414543175,,
ENSG00000142611~chr1:3283694-3284579,0.00620177743712722,,
ENSG00000142611~chr1:3312834-3313738,-0.003377850921066594,,
ENSG00000142611~chr1:3316369-3317237,-0.00045784343167265285,,
ENSG00000142611~chr1:3319668-3320528,-0.015146877526439465,,
